Segment	Chr	StartMB	StopMB	Length	N_SNP	StartSNP	StopSNP
1	1	0.011	121.481	121.471	1601493	rs58108140	rs56413436
2	1	142.546	249.239	106.694	1390899	rs142011633	rs183566754
3	2	0.010	90.531	90.520	1319144	rs187078949	chr2:90530629:D
4	2	95.326	243.189	147.863	1970904	rs186652886	rs181237354
5	3	0.060	90.505	90.444	1309471	rs186476240	rs28969635
6	3	93.505	197.947	104.441	1441646	rs142434710	rs113396774
7	4	0.010	49.633	49.623	763654	rs114682541	rs6834880
8	4	52.660	191.044	138.383	1961953	rs191812425	rs148970776
9	5	0.012	46.406	46.394	700704	rs180998967	rs149529869
10	5	49.411	180.885	131.474	1818829	chr5:49410915:D	chr5:180885155:I
11	6	0.074	58.773	58.699	869490	chr6:73924:D	rs116429079
12	6	61.880	171.051	109.171	1544880	rs191992023	rs4376396
13	7	0.016	58.054	58.038	904716	rs185675297	rs145260472
14	7	61.056	159.129	98.072	1300943	rs138767738	chr7:159128574:D
15	8	0.010	43.836	43.825	788447	rs188696513	rs182843188
16	8	46.841	146.304	99.463	1385696	chr8:46841315:I	rs193256163
17	9	0.010	47.297	47.287	675009	chr9:10023:D	chr9:47296539:D
18	9	65.471	141.145	75.673	970322	rs192876765	rs182031163
19	10	0.061	39.152	39.092	602034	rs148087467	rs61829015
20	10	42.373	135.524	93.151	1272387	chr10:42372579:I	chr10:135523864:D
21	11	0.071	51.594	51.523	746169	rs77848728	rs188200057
22	11	54.695	134.946	80.251	1139292	rs143696616	rs144287342
23	12	0.061	34.857	34.795	505651	rs186362565	rs182545581
24	12	37.857	133.842	95.985	1313766	rs188560751	rs188765598
25	13	19.020	115.110	96.090	1367373	rs181615907	rs185559716
26	14	19.002	107.289	88.287	1251750	rs147181624	rs149770569
27	15	20.001	102.521	82.520	1125303	rs190115916	rs139939897
28	16	0.060	35.286	35.226	504909	rs62028702	rs181534882
29	16	46.399	90.293	43.893	699851	chr16:46399473:I	rs9746261
30	17	0.000	22.263	22.263	310464	rs145615430	chr17:22262893:D
31	17	25.269	81.195	55.926	730384	rs7209679	rs187112992
32	18	0.011	15.407	15.396	233029	rs115926245	rs144017966
33	18	18.520	78.017	59.497	850945	rs111859713	rs180850426
34	19	0.081	24.621	24.540	355461	chr19:80840:D	rs186643626
35	19	27.741	59.119	31.378	455532	rs149186626	chr19:59118838:D
36	20	0.060	26.315	26.254	382687	rs149529999	chr20:26314952:I
37	20	29.420	62.965	33.545	468491	rs182338777	rs186264662
38	21	14.338	48.120	33.782	513577	rs114725485	rs183949376
39	22	16.050	51.243	35.193	491603	rs149201999	rs181833046
